date,price,ma20,margin_amount_100m,margin_pct,zone,hot,low_or_depressed,below_ma20_3w,above_ma20,reentry_armed,position,shares,cash,equity,event
2021-02-07,230.69320430126922,195.88700178980554,1899.52641,0.9615384615384616,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6881205.8223074535,
2021-02-21,237.62426867382214,199.3394189278747,1997.02597,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7087948.282102298,
2021-02-28,228.29728081446078,202.12868914396725,2092.09692,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6809739.292995655,
2021-03-07,225.81578863169486,204.52590513695236,2114.31492,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6735720.387637005,
2021-03-14,231.4633225648862,207.28505427449414,2158.31664,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6904177.206729103,
2021-03-21,227.27045646297145,209.76337802197963,2220.88148,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6779110.7804334555,
2021-03-28,229.92308603765218,212.63393849923173,2297.66669,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6858234.437885803,
2021-04-04,232.31900952446063,215.31444372217248,2328.12929,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6929700.967197602,
2021-04-11,236.08403214658816,217.969653821338,2401.78019,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7042005.513258999,
2021-04-18,238.3088182414817,220.3383209857628,2477.78385,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7108367.290477098,
2021-04-25,238.13768084956683,222.64399792150434,2598.46969,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7103262.538383398,
2021-05-02,240.6191730323327,224.851828848566,2740.63216,1.0,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7177281.443742046,
2021-05-09,238.56552432935405,226.83554907789903,2642.98597,0.9903846153846154,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7116024.418617648,
2021-05-16,220.6816668742482,227.9711354306277,2308.17194,0.9423076923076923,hot,True,False,False,False,False,HOLD,29828.38546609756,0.0,6582577.824826009,
2021-05-23,226.50033819935442,229.33484762758766,2199.8899,0.9134615384615384,hot,True,False,False,False,False,HOLD,29828.38546609756,0.0,6756139.396011805,
2021-05-30,232.4045782204181,230.7174178486952,2333.65365,0.9519230769230769,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6932253.343244453,
2021-06-06,234.37265822743927,231.4488865873339,2463.56191,0.9615384615384616,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,6990957.992322001,
2021-06-13,236.3407382344605,232.00240534941804,2514.59915,0.9711538461538461,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7049662.641399549,
2021-06-20,236.1696008425456,232.04946813219468,2626.0675,0.9807692307692307,hot,True,False,False,True,False,HOLD,29828.38546609756,0.0,7044557.88930585,
